Line #,IM GUI Item Attribute Set,IM GUI / Load Sheet (FUSE) Name,IM / Load Sheet (FUSE) XML Name,GDSN XML Name,GDSN BMS ID,DSD Attribute Name,DSD Qualifer Attribute Name,ContentSync Attribute Name,Mandatory/ Optional,Definition,Data Type,# of digits before the decimal (floats),Min Length (Non-floats)/ # of digits after the decimal (floats),Max Length (Non-floats)/ Total digits including decimal (floats),Global/Target Market Specific,Occurrence,Qualifier Type,Qual Valid Value List,"Correctable
 Attribute (Y/N)",Relationship Dependent Data (RDD) (Y/N),Additional Comments,Examples,Notes,# of Values allowed per Qualifier Type (Language/uom/currency),Last Revision Date,Revision
60470,Marketing,Product Grade,tradeItemGradeInformation/gradeCode,marketingInformationModule/marketingInformation/gradeCodeReference,1506,S1TRIGCD,,gradeCodeReferenceValue,M within O group,"The description of the product's evaluation or ranking or class, such as quality, size, weight.

Used by the buyer to communicate to the consumer the grade associated to the product. Used by the buyer for verification and compliance. Used by the buyer in assortment planning.",string,,1,80,Target Market,0..1,,,N,N,,,"Previous IM GUI / Load Sheet (FUSE) Name was Trade Grade Information Item Grade Code. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Trade Grade Information Item Grade Code.
6/25/2021- Updated the value for IM GUI Item Attribute Set"
60490,Marketing,Trade Grade Information Code Agency,tradeItemGradeInformation/gradeCodeAgency,marketingInformationModule/marketingInformation/gradeCodeReference/codeListAgencyCode,1508,S1TRDGAGN,,codeListAgencyCode,O,An agency that manages a grade code list.,string,,1,80,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60510,Marketing,Trade Grade Information Code List Identification,tradeItemGradeInformation/gradeCodeListIdentification,marketingInformationModule/marketingInformation/gradeCodeReference/codeListName,1511,S1TRIGCLI,,codeListVersion,O,The identification of a code list which includes grades for an item or service.,string,,1,80,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60530,Marketing,Trade Item Included Accessories,tradeItemIncludedAccessories,marketingInformationModule/marketingInformation/tradeItemIncludedAccessories,1496,S3TIINCAC,,tradeItemIncludedAccessories,O,Any included object or device not part of the core product itself but which adds to its functionality or use,string,,1,1000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60550,Marketing,Trade Item Introduction Year,tradeItemIntroductionYear,marketingInformationModule/marketingInformation/tradeItemIntroductionYear,5481,S3TIIY,,tradeItemIntroductionYear,O,The date the GTIN and/or trade item is introduced into the marketplace. Once established this does not change. ,uinteger,,1,4,Target Market,0..1,,,N,N,Attributes with a datatype of uinteger (unsigned integer) can support only  positive numbers.  No +/- should be used with this attribute.,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
11/30/2017 - Will be added with IM 8.4"
60570,Marketing,Usage Colour Description,usageColourDescription,marketingInformationModule/marketingInformation/usageColourDescription,5482,S3USCD,,usageColourDescription,O,"A description of the usage of colour(s) the trade item offers such as pens, markers, ink pads, printer cartridges and other implements that provide colour. Examples include black, white",string,,1,500,Target Market,0..Many,Language,StandardLanguageCodes,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of StandardLanguageCodes,,,Many,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update IM GUI Name
11/30/2017 - Will be added with IM 8.4"
60590,Marketing,Was Verified By Category Manager?,wasVerifiedByCategoryManager,catalogueItemNotification/catalogueItem/tradeItem/avpList/wasVerifiedByCategoryManager,N/A,S3WVBCATM,,wasVerifiedByCategoryManager,O,Indicates whether or not the product was sampled by the Category Manager.,VV/booleanVV,,,,Target Market,0..1,,,N,Y,,"true
false",,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60610,Marketing,Website Launch Date,websiteLaunch/date,N/A,N/A,N/A,,N/A,O,Provide the anticipated product site launch date Example: 2017-07-20,datetime,,,,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
60630,Marketing,Website Launch Type,websiteLaunch/type,N/A,N/A,N/A,,N/A,O,Type of Website Launch,VV/WebsiteLaunchType,,,,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
60650,Marketing,Consumer Age Group,wmConsumerAgeGroup,N/A,N/A,N/A,,N/A,O,General grouping of ages into commonly used demographic labels.,VV/WMConsumerAgeGroupVV,,,,,0..Many,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
60670,Media and Entertainment,Player Age Range,ageRangeDescription,audienceOrPlayerInformationModule/audienceOrPlayerInformation/ageRangeDescription,475,S3AGEDESC,,ageRangeDescription,O,Note: This attribute is being deprecated in a future release. Use targetConsumerAge from TargetConsumer class in MarketingInformationModule. Description of the recommended age range of participating players.,string,,1,70,Target Market,0..Many,Language,StandardLanguageCodes,N,N,Note: This attribute is being deprecated in a future release.,,,Single,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
8/26/2020 - Updated Definition column and Additional Comments column for IM 8.18"
60690,Media and Entertainment,Album Capacity,albumCapacity,catalogueItemNotification/catalogueItem/tradeItem/avpList/albumCapacity,N/A,S3ALBCAP,,albumCapacity,O,Describes the number of photos the album can hold. Values are in number of packets (Pkt).,uinteger,,1,4,Target Market,0..1,,,N,Y,Attributes with a datatype of uinteger(unsigned integer) can support only  positive numbers.  No +/- should be used with this attribute.,"10
99",,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60710,Media and Entertainment,Album Capacity UOM,albumCapacityUOM,catalogueItemNotification/catalogueItem/tradeItem/avpList/albumCapacityUOM,N/A,S3ALBCAPU,,albumCapacityUOM,O,The unit of measurement associated with the album capacity.,string,,1,70,Target Market,0..1,,,N,Y,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60730,Media and Entertainment,Asp Ratio Desc Code,aspectRatio/aspectRatioDescriptionCode,audioVisualMediaProductionInformationModule/audioVisualMediaProductionInformation/aspectRatioInformation/aspectRatioDescriptionCode,580,S1ASPRDCC,,aspectRatioDescriptionCode,O,A code that indicates the aspect ratio description.,VV/MOVAspectRatioDescriptionCode,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of MOVAspectRatioDescriptionCode,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60750,Media and Entertainment,Asp Ratio Dim Code,aspectRatio/aspectRatioDimensionCode,audioVisualMediaProductionInformationModule/audioVisualMediaProductionInformation/aspectRatioInformation/aspectRatioDimensionCode,581,S1ASPRDC,,aspectRatioDimensionCode,O,A code that indicates the aspect ratio dimension.,VV/MOVAspectRatioDimensionCode,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of MOVAspectRatioDimensionCode,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60770,Media and Entertainment,Audio Sound Type Code,audioSoundTypeCode,audioVisualMediaProductionInformationModule/audioVisualMediaProductionInformation/audioSoundTypeCode,568,S1AUSTPCD,,audioSoundTypeCode,O,A code that indicates the type of audio sound available on the trade item.,VV/MOVAudioSoundType,,1,80,Target Market,0..Many,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of MOVAudioSoundType,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60790,Media and Entertainment,Audio Visual Media Contributor Name,audioVisualMediaContentInformation/distributionMediaContentInformation/audioVisualMediaContributor/audioVisualMediaItemContributorName,audioVisualMediaContentInformationModule/audioVisualMediaContentInformation/distributionMediaContentInformation/distributionMediaTrackInformation/audioVisualMediaContributor/distributionMediaAudioVisualMediaItemContributorName,530,S3CONTNAM,,audioVisualMediaItemContributorName,O,"The name of the contributor of the media content for example artist, producer, director.",string,,1,70,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60810,Media and Entertainment,Audio Visual Media Contributor Type Code,audioVisualMediaContentInformation/distributionMediaContentInformation/audioVisualMediaContributor/audioVisualMediaItemContributorTypeCode,audioVisualMediaContentInformationModule/audioVisualMediaContentInformation/distributionMediaContentInformation/distributionMediaTrackInformation/audioVisualMediaContributor/distributionMediaAudioVisualMediaItemContributorTypeCode,531,S3CONTYCD,,audioVisualMediaItemContributorTypeCode,M within O group,"A code identifying the type of contributor to media content for example artist, producer, director.",VV/AudioVisualMediaContributorTypeCode,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of AudioVisualMediaContributorTypeCode,,Becomes required when any other attribute in the group is populated.,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60830,Media and Entertainment,Available Language Code,audioVisualMediaContentInformation/distributionMediaContentInformation/availableLanguageCode,audioVisualMediaContentInformationModule/audioVisualMediaContentInformation/distributionMediaContentInformation/audioVisualMediaLanguageInformation/availableLanguageCode,522,S3AVLNGCD,,availableLanguageCode,O,The available languages used to interface with the consumer.,VV/StandardLanguageCodes,,1,80,Target Market,0..Many,,,N,N,,,,,5/11/2022,"5/11/2022- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Corrected Data Type. 
6/25/2021- Updated the value for IM GUI Item Attribute Set"
60850,Media and Entertainment,Closed Captioning Code,audioVisualMediaContentInformation/distributionMediaContentInformation/closedCaptioningCode,audioVisualMediaContentInformationModule/audioVisualMediaContentInformation/distributionMediaContentInformation/audioVisualMediaLanguageInformation/closedCaptioningCode,523,S1CLCPCDE,,closedCaptioningCode,O,"A code that indicates if the film has closed captions, no closed captions or if this information is unknown.",VV/MOVClosedCaptioning,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of MOVClosedCaptioning,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60870,Media and Entertainment,Disc Number,audioVisualMediaContentInformation/distributionMediaContentInformation/discNumber,audioVisualMediaContentInformationModule/audioVisualMediaContentInformation/distributionMediaContentInformation/discNumber,512,S1DSCNBR,,discNumber,O,"The number allocated to a disc, beginning with 1",uinteger,,1,4,Target Market,0..1,,,N,N,Attributes with a datatype of uinteger(unsigned integer) can support only  positive numbers.  No +/- should be used with this attribute.,"10
99",,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60890,Media and Entertainment,Audio Visual Media Contributor Name,audioVisualMediaContentInformation/distributionMediaContentInformation/distributionMediaTrackInformation/audioVisualMediaContributor/audioVisualMediaItemContributorName,audioVisualMediaContentInformationModule/audioVisualMediaContentInformation/distributionMediaContentInformation/distributionMediaTrackInformation/audioVisualMediaContributor/distributionMediaAudioVisualMediaItemContributorName,538,S3DCNTNAM,,audioVisualMediaItemContributorTypeCode,O,"The name of the contributor of the media content for example artist, producer, director.",string,,1,70,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60910,Media and Entertainment,Audio Visual Media Contributor Type Code,audioVisualMediaContentInformation/distributionMediaContentInformation/distributionMediaTrackInformation/audioVisualMediaContributor/audioVisualMediaItemContributorTypeCode,audioVisualMediaContentInformationModule/audioVisualMediaContentInformation/distributionMediaContentInformation/distributionMediaTrackInformation/audioVisualMediaContributor/distributionMediaAudioVisualMediaItemContributorTypeCode,539,S3DCNTYCD,,audioVisualMediaItemContributorName,M within O group,"A code identifying the type of contributor to media content for example artist, producer, director.",VV/AudioVisualMediaContributorTypeCode,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of AudioVisualMediaContributorTypeCode,,Becomes required when any other attribute in the group is populated.,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
